county,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
orange,204179.40478800004,14823,173985713,3725,4098,3416,2156,1428,12574,111665683,83321099,14046185,14298400,7950,3263,1361,583,275347,282897,285964,291632,1632454,1776909,1706794,1517656,1190445,1254474,1314924,1301092,3098246,3314280,3307682,3110379,25034,25076,26682,29380,31545,33193,33024,34698,36873,38478,37832,40465,41881,42583,43412,83553,83580,83500,81687,82255,82612,81586,82013,82337,82889,82816,83245,83928,84508,85047,2091655,2095889,2227971,2399935,2594705,2742129,2694335,2845717,3036035,3189400,3133092,3368507,3514948,3598580,3692033
polk,47331.241462800004,1177,3548082,414,655,56,31,20,538,2892425,2192579,279069,420778,447,60,31,13,178761,184353,188950,195238,219520,216664,199806,172596,438484,489331,498146,532319,836765,890348,886903,900153,24557,24807,26050,27933,29904,31332,31816,32688,34525,36905,36806,37441,37888,38214,38210,44779,45315,45472,45495,45727,45794,45537,45445,45580,45512,45532,45825,46614,47735,49162,1099626,1124107,1184553,1270823,1367416,1434796,1448794,1485513,1573647,1679628,1675849,1715730,1766129,1824129,1878484
refugio,31615.591548999997,1340,6655462,128,1084,79,15,34,1059,4438717,3098508,707652,632558,955,70,34,21,41742,44276,46487,49066,169763,190419,183529,113563,84585,101974,112775,110753,296090,336670,342791,273381,27487,28054,29132,29084,31002,35104,31965,34898,40911,42783,46296,45822,43574,38810,41496,7563,7630,7601,7548,7414,7430,7410,7375,7319,7252,7273,7354,7320,7293,7224,207886,214049,221435,219525,229847,260826,236860,257372,299427,310262,336712,336975,318961,283039,299764
sabine,13825.9846234,186,153395,98,84,4,0,0,67,113705,74243,13340,26123,65,2,0,0,27693,29378,30800,33667,138955,117993,110827,101035,56843,64033,68452,71917,223491,211404,210079,206619,23137,23689,24739,26379,27777,30115,28801,29018,30146,31444,30807,32205,33520,34212,35371,10482,10498,10445,10583,10541,10565,10721,10870,10725,10522,10423,10428,10447,10385,10461,242519,248686,258395,279173,292797,318162,308779,315428,323319,330851,321103,335833,350188,355295,370018
san jacinto,59000.214427,1591,9835101,383,867,168,110,63,952,7585926,5824665,713315,1047945,671,196,85,34,51560,52699,55465,57870,53179,50658,52248,45988,97173,106254,112445,162140,201912,209611,220159,265998,19989,21164,22976,24555,25282,27070,26065,26424,27931,30165,30629,32364,32374,33290,33712,24100,24756,25014,25151,25719,25889,26086,26474,26781,26946,26737,27056,27361,27757,28270,481737,523933,574730,617580,650215,700809,679926,699559,748031,812837,818934,875628,885779,924030,953050
san patricio,58211.408997800005,5899,14452597,1050,4546,200,36,67,4151,11704934,6751839,2562685,2390409,3902,188,61,36,395205,421648,431561,432530,1036913,1035954,1020295,864164,918481,964693,1005751,1066429,2350600,2422294,2457607,2363122,23533,24228,25426,27357,29972,32274,31891,34540,37445,39152,40764,42096,41909,41665,42852,66440,66990,67232,67022,66723,66417,65751,64430,64455,65265,66134,66638,67084,67262,67215,1563515,1623058,1709462,1833513,1999823,2143510,2096833,2225428,2413508,2555229,2695864,2805202,2811411,2802494,2880303
yler,44751.8088593,998,2645726,350,557,55,27,9,512,2134953,1412353,282868,439734,439,56,17,5,103309,104644,106518,112449,46093,41628,52965,50280,107944,112946,122017,129961,257346,259218,281500,292691,20250,20361,21758,23011,23945,25594,25353,26068,27238,27979,28502,30057,31047,31293,31551,20823,21038,20935,21034,21279,21570,21737,21762,21660,21484,21495,21448,21364,21434,21539,421676,428362,455505,484013,509527,552064,551106,567281,589982,601092,612656,644667,663289,670737,679576
victoria,28309.103967799998,5926,11001659,1432,4273,161,36,24,3723,8337075,4498840,1750507,2087732,3571,128,24,10,417687,435857,452023,484072,1672259,1879926,2085020,1640764,2335560,2523939,2721222,2887720,4425506,4839722,5258265,5012556,28536,29540,32003,34727,35560,38529,34669,36872,39235,42237,43426,45971,44886,42056,42484,84674,84718,84453,84528,85261,85762,86635,86883,87530,89067,90058,90988,92082,92379,92084,2416229,2502585,2702724,2935395,3031855,3304317,3003584,3203544,3434233,3761910,3910814,4182799,4133167,3885107,3912142
walker,29654.7626176,874,1587254,318,515,30,8,3,386,1332525,940659,232528,159338,352,30,4,2,833700,881338,920855,952980,210901,223583,234858,204211,676855,680615,713060,753365,1721456,1785537,1868773,1910556,18128,17674,18200,19001,20091,21889,21693,22147,23050,23762,24652,26066,26456,27024,27302,63609,64551,65676,65591,65517,65726,66748,68241,68408,68596,69426,70001,70718,71701,72245,1153125,1140894,1195307,1246276,1316333,1438675,1447968,1511305,1576790,1629994,1711483,1824644,1870941,1937669,1972461
waller,48430.04086340001,1082,5520786,293,552,166,61,10,628,3486586,2415090,715572,355924,501,107,20,7,256143,272497,276798,293775,651018,696105,767297,740064,643176,721856,798561,823858,1550337,1690458,1842656,1857697,22669,24202,26606,29209,29867,32717,31303,31645,32909,34460,35751,37733,36567,37484,37508,36333,36850,37242,38260,39809,40578,42087,43513,44088,44353,45413,46798,48639,50058,51307,823646,891848,990869,1117555,1188975,1327571,1317453,1376948,1450888,1528424,1623542,1765842,1778606,1876397,1924416
wharton,155692.86553189997,2340,20396505,659,861,454,219,147,1820,12733134,8677144,1878288,2177704,1305,394,121,45,163610,172064,177913,184821,499938,554774,562175,555456,700249,729032,807497,834113,1363797,1455870,1547585,1574390,26163,26479,27658,29528,30926,34860,32964,33976,35328,37922,40467,40941,41138,39668,40535,41026,40992,40987,41073,40845,40893,40998,41278,41260,41064,41095,41073,41379,41634,41968,1073344,1085439,1133608,1212790,1263171,1425535,1351473,1402450,1457627,1557225,1662981,1681556,1702234,1651547,1701191
