,year,period,county,estabs,firms,avg_emp,avg_wage,total_wages,month_1,month_2,month_3
2008-04-01,2008.0,2.0,jefferson,445.0,433.0,14925.0,1044.0,202606472.0,14777.0,15029.0,14968.0
2008-04-01,2008.0,2.0,harris,6755.0,6230.0,164306.0,1045.0,2232773508.0,164122.0,164742.0,164054.0
2008-04-01,2008.0,2.0,hardin,96.0,96.0,1329.0,1003.0,17329697.0,1305.0,1343.0,1338.0
2008-04-01,2008.0,2.0,orange,126.0,122.0,1693.0,833.0,18334302.0,1720.0,1687.0,1672.0
2008-07-01,2008.0,3.0,hardin,97.0,97.0,1267.0,927.0,15264580.0,1329.0,1241.0,1231.0
2008-07-01,2008.0,3.0,harris,6745.0,6235.0,162672.0,1002.0,2119468514.0,162846.0,163919.0,161250.0
2008-07-01,2008.0,3.0,orange,124.0,120.0,1750.0,757.0,17221935.0,1652.0,1704.0,1893.0
2008-07-01,2008.0,3.0,jefferson,449.0,436.0,16410.0,1047.0,223293391.0,15868.0,16548.0,16815.0
2008-10-01,2008.0,4.0,hardin,99.0,99.0,1490.0,1311.0,25379973.0,1448.0,1486.0,1535.0
2008-10-01,2008.0,4.0,orange,130.0,126.0,1959.0,874.0,22245332.0,2305.0,1776.0,1795.0
2008-10-01,2008.0,4.0,jefferson,464.0,450.0,18186.0,1188.0,280924171.0,18047.0,18406.0,18105.0
2008-10-01,2008.0,4.0,harris,6770.0,6275.0,163890.0,1207.0,2571386597.0,165735.0,164727.0,161208.0
2009-01-01,2009.0,1.0,jefferson,451.0,438.0,16289.0,1023.0,216696483.0,17025.0,16197.0,15646.0
2009-01-01,2009.0,1.0,hardin,100.0,100.0,1332.0,941.0,16292773.0,1411.0,1322.0,1263.0
2009-01-01,2009.0,1.0,harris,6752.0,6252.0,155569.0,1045.0,2113029537.0,157207.0,156147.0,153353.0
2009-01-01,2009.0,1.0,orange,133.0,129.0,1596.0,759.0,15741949.0,1655.0,1608.0,1524.0
2009-04-01,2009.0,2.0,harris,6761.0,6266.0,149495.0,1052.0,2045408972.0,150177.0,150117.0,148191.0
2009-04-01,2009.0,2.0,jefferson,458.0,445.0,13798.0,1052.0,188783418.0,14179.0,13592.0,13623.0
2009-04-01,2009.0,2.0,orange,133.0,129.0,1493.0,780.0,15137950.0,1424.0,1506.0,1550.0
2009-04-01,2009.0,2.0,hardin,103.0,103.0,1260.0,948.0,15535702.0,1255.0,1282.0,1243.0
2009-07-01,2009.0,3.0,hardin,102.0,102.0,1053.0,852.0,11658655.0,1148.0,1013.0,997.0
2009-07-01,2009.0,3.0,jefferson,452.0,440.0,13890.0,1064.0,192071262.0,13693.0,13879.0,14098.0
2009-07-01,2009.0,3.0,orange,131.0,128.0,1462.0,803.0,15266410.0,1449.0,1480.0,1456.0
2009-07-01,2009.0,3.0,harris,6750.0,6279.0,144352.0,1027.0,1926966832.0,145435.0,144581.0,143041.0
2009-10-01,2009.0,4.0,jefferson,456.0,444.0,14832.0,1115.0,214900821.0,14766.0,14864.0,14865.0
2009-10-01,2009.0,4.0,harris,6675.0,6206.0,140420.0,1217.0,2221832001.0,142686.0,139849.0,138724.0
2009-10-01,2009.0,4.0,hardin,102.0,102.0,994.0,975.0,12598689.0,1014.0,999.0,970.0
2009-10-01,2009.0,4.0,orange,133.0,130.0,1435.0,948.0,17698262.0,1445.0,1438.0,1423.0
2010-01-01,2010.0,1.0,hardin,106.0,106.0,938.0,835.0,10173353.0,941.0,918.0,954.0
2010-01-01,2010.0,1.0,jefferson,450.0,436.0,15322.0,990.0,197126781.0,15227.0,15278.0,15460.0
2010-01-01,2010.0,1.0,harris,6586.0,6140.0,137432.0,1031.0,1841242889.0,137878.0,136861.0,137558.0
2010-01-01,2010.0,1.0,orange,141.0,135.0,1368.0,784.0,13933364.0,1391.0,1354.0,1358.0
2010-04-01,2010.0,2.0,jefferson,448.0,435.0,15150.0,1019.0,200713115.0,15115.0,15081.0,15255.0
2010-04-01,2010.0,2.0,hardin,103.0,103.0,1027.0,897.0,11976701.0,1033.0,1020.0,1029.0
2010-04-01,2010.0,2.0,orange,136.0,129.0,1316.0,796.0,13608228.0,1258.0,1358.0,1331.0
2010-04-01,2010.0,2.0,harris,6570.0,6135.0,136174.0,1049.0,1857237692.0,136484.0,135952.0,136085.0
2010-07-01,2010.0,3.0,orange,131.0,126.0,1380.0,860.0,15431317.0,1347.0,1370.0,1424.0
2010-07-01,2010.0,3.0,harris,6540.0,6118.0,137405.0,1033.0,1845158016.0,137263.0,137532.0,137419.0
2010-07-01,2010.0,3.0,jefferson,450.0,438.0,16307.0,1092.0,231497781.0,16239.0,16169.0,16513.0
2010-07-01,2010.0,3.0,hardin,101.0,101.0,1084.0,1125.0,15858071.0,1094.0,1099.0,1060.0
2010-10-01,2010.0,4.0,orange,131.0,127.0,1316.0,1040.0,17791211.0,1391.0,1261.0,1296.0
2010-10-01,2010.0,4.0,hardin,102.0,102.0,1103.0,1108.0,15891512.0,1141.0,1095.0,1073.0
2010-10-01,2010.0,4.0,harris,6581.0,6148.0,135613.0,1196.0,2108678168.0,137648.0,135191.0,134000.0
2010-10-01,2010.0,4.0,jefferson,453.0,441.0,17063.0,1142.0,253220507.0,17326.0,17010.0,16854.0
2011-01-01,2011.0,1.0,orange,128.0,125.0,1522.0,907.0,17954532.0,1481.0,1534.0,1551.0
2011-01-01,2011.0,1.0,jefferson,452.0,441.0,16349.0,1034.0,219700094.0,16014.0,16291.0,16742.0
