,,,,,,,,,,,,,,,,,,,,,,
Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
1603,LA,Ascension (Parish),BRITTANY,70718,5,"$1,945",5,"$9,727",1,4,0,0,0,3,"$12,511","$5,765","$6,746",$0,3,0,0,0
1603,LA,Ascension (Parish),DARROW,70725,255,$758,184,"$139,419",66,118,0,0,0,138,"$393,038","$63,109","$279,118","$50,811",135,3,0,0
1603,LA,Ascension (Parish),DENHAM SPRINGS,70726,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),DONALDSONVILLE,70346,"1,158","$1,305",885,"$1,154,845",230,648,2,0,5,565,"$1,512,310","$531,999","$816,193","$164,118",556,9,0,0
1603,LA,Ascension (Parish),DONALDSONVLLE,70346,1,"$1,350",1,"$1,350",0,1,0,0,0,1,"$3,723","$1,350","$2,373",$0,1,0,0,0
1603,LA,Ascension (Parish),DUPLESSIS,70728,3,$256,3,$769,1,2,0,0,0,1,$423,$423,$0,$0,1,0,0,0
1603,LA,Ascension (Parish),GALVEZ,70769,4,$650,4,"$2,599",1,3,0,0,0,2,"$4,038",$532,"$2,000","$1,506",2,0,0,0
1603,LA,Ascension (Parish),GEISMAR,70734,377,$849,273,"$231,870",109,163,0,0,1,145,"$319,628","$83,791","$188,643","$47,194",144,0,1,1
1603,LA,Ascension (Parish),GEISMAR,70769,1,$438,1,$438,0,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),GONZALES,70707,11,$458,5,"$2,290",1,4,0,0,0,3,"$6,443",$327,"$6,000",$115,3,0,0,0
1603,LA,Ascension (Parish),GONZALES,70737,"2,059",$919,1359,"$1,248,549",397,951,6,1,4,747,"$1,487,580","$280,228","$875,294","$332,057",737,7,3,3
1603,LA,Ascension (Parish),GONZALES,70769,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),GONZALES   ,70737,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Ascension (Parish),LIVINGSTON,70754,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),MAUREPAS,70449,5,$287,4,"$1,148",2,2,0,0,0,2,"$2,791",$0,"$2,000",$791,2,0,0,0
1603,LA,Ascension (Parish),MODESTE,70376,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),MORGAN CITY,70380,1,"$4,072",1,"$4,072",0,1,0,0,0,1,"$4,072","$2,353",$0,"$1,719",1,0,0,0
1603,LA,Ascension (Parish),New Orleans ,70126,1,"$134,336",1,"$134,336",0,0,0,0,1,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),NEW ORLEANS,70124,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Ascension (Parish),NEW ORLEANS,70859,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),PRAIEIVILLE,70769,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),PRAIRIEVILLE,70769,"1,895",$999,1320,"$1,318,397",346,961,4,2,6,783,"$1,346,909","$300,069","$590,779","$456,061",770,11,2,1
1603,LA,Ascension (Parish),PRAIRIEVILLE,70796,1,$921,1,$921,0,1,0,0,0,1,"$2,791",$0,"$2,000",$791,1,0,0,0
1603,LA,Ascension (Parish),PRAIRIEVILLE,76813,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),RIVER RIDGE,70123,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Ascension (Parish),SAINT AMANT,70774,775,"$1,633",550,"$897,877",180,362,4,0,4,317,"$626,661","$193,847","$261,154","$171,661",311,6,0,0
1603,LA,Ascension (Parish),SORRENTO,70778,188,"$1,101",139,"$152,974",39,99,1,0,0,83,"$181,668","$56,257","$97,698","$27,713",82,1,0,0
1603,LA,Ascension (Parish),ST AMANT,70770,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Ascension (Parish),ST AMANT,70774,4,$238,3,$714,2,1,0,0,0,1,$714,$714,$0,$0,1,0,0,0
1603,LA,Ascension (Parish),WHITE CASTLE,70788,1,"$1,559",1,"$1,559",0,1,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Assumption (Parish),BELLE ROSE,70341,612,"$1,657",466,"$772,244",80,380,4,0,2,329,"$969,380","$361,745","$420,261","$187,374",317,11,1,1
1603,LA,Assumption (Parish),BELL ROSE,70393,2,$974,2,"$1,948",0,2,0,0,0,2,"$4,231",$231,"$4,000",$0,2,0,0,0
1603,LA,Assumption (Parish),BELLROSE,70341,1,$383,1,$383,0,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Assumption (Parish),BERTRANVILLE,70393,1,"$1,055",1,"$1,055",0,1,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Assumption (Parish),COVINGTON,70433,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Assumption (Parish),DONALDSONVILLE,70346,9,$252,6,"$1,510",4,2,0,0,0,2,"$2,822",$822,"$2,000",$0,2,0,0,0
1603,LA,Assumption (Parish),EWELLVILLE,70391,1,$205,1,$205,0,1,0,0,0,1,$205,$205,$0,$0,1,0,0,0
1603,LA,Assumption (Parish),LABADIEVILLE,70372,346,"$1,417",263,"$372,774",47,212,2,1,1,162,"$401,088","$145,083","$187,122","$68,883",158,4,0,0
1603,LA,Assumption (Parish),MATAIRIE,70072,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Assumption (Parish),MORGAN CITY,70380,68,"$2,551",54,"$137,733",6,47,0,0,1,35,"$105,177","$59,944","$24,016","$21,217",34,0,1,1
1603,LA,Assumption (Parish),NAPOLEONVILLE,70390,969,"$1,626",726,"$1,180,621",148,568,9,1,0,523,"$1,578,949","$651,540","$701,464","$225,945",504,18,1,0
1603,LA,Assumption (Parish),NAPOLEONVILLE,70393,1,$578,1,$578,0,1,0,0,0,1,"$17,231",$578,"$8,963","$7,690",0,1,0,0
1603,LA,Assumption (Parish),NEW ORLEANS,70128,1,"$251,216",1,"$251,216",0,0,0,0,1,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Assumption (Parish),PAINCOURTVILLE,70391,137,$906,98,"$88,797",22,75,1,0,0,68,"$129,271","$46,708","$61,064","$21,499",67,1,0,0
1603,LA,Assumption (Parish),PIERRE PART,70339,475,"$1,525",337,"$513,835",85,248,3,1,0,181,"$501,782","$277,322","$171,026","$53,433",177,4,0,0
1603,LA,Assumption (Parish),PLATTENVILLE,70393,85,"$2,032",68,"$138,202",14,53,1,0,0,44,"$175,902","$97,142","$57,463","$21,297",41,3,0,0
1603,LA,Assumption (Parish),PRAIRIEVILLE,70769,1,"$1,798",1,"$1,798",0,1,0,0,0,1,"$1,006",$0,$0,"$1,006",1,0,0,0
1603,LA,Assumption (Parish),THIBODAUX,70301,17,"$1,413",13,"$18,374",3,10,0,0,0,6,"$11,917","$6,203","$1,149","$4,565",6,0,0,0
1603,LA,Assumption (Parish),THIBODAUX,70372,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Bandera (County),PORT ARTHUR,77640,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Bienville (Parish),NEW ORLEANS,70122,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Calcasieu (Parish),ANIKOL,77104,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Calcasieu (Parish),BELL CITY,70630,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Calcasieu (Parish),DEQUINCY,70633,15,$0,15,$0,15,0,0,0,0,14,"$28,000",$0,"$28,000",$0,14,0,0,0
1603,LA,Calcasieu (Parish),GRAND CHENIER,70643,1,"$124,320",1,"$124,320",0,0,0,0,1,1,"$11,835","$10,500","$1,335",$0,0,1,0,0
1603,LA,Calcasieu (Parish),HAYES,70646,4,$0,4,$0,4,0,0,0,0,2,"$4,000",$0,"$4,000",$0,2,0,0,0
1603,LA,Calcasieu (Parish),HOUMA,70360,2,$0,2,$0,2,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Calcasieu (Parish),HOUMA,70363,1,$24,1,$24,0,1,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Calcasieu (Parish),IOWA,70647,21,$295,20,"$5,897",19,1,0,0,0,12,"$24,000",$0,"$24,000",$0,12,0,0,0
1603,LA,Calcasieu (Parish),JONESBORO,71251,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Calcasieu (Parish),LAKE CHARLES,70601,96,$715,76,"$54,324",54,21,0,1,0,67,"$138,576","$4,504","$128,000","$6,072",67,0,0,0
1603,LA,Calcasieu (Parish),LAKE CHARLES,70605,65,$135,53,"$7,157",50,3,0,0,0,54,"$110,073",$0,"$108,000","$2,073",54,0,0,0
1603,LA,Calcasieu (Parish),LAKE CHARLES,70607,52,"$2,210",41,"$90,627",37,3,0,0,1,32,"$92,681","$13,355","$66,961","$12,365",31,0,1,1
1603,LA,Calcasieu (Parish),LAKE CHARLES,70611,47,$184,40,"$7,368",36,4,0,0,0,34,"$70,388",$0,"$68,000","$2,388",34,0,0,0
1603,LA,Calcasieu (Parish),LAKE CHARLES,70615,42,$303,37,"$11,215",34,3,0,0,0,33,"$67,448",$656,"$66,000",$791,33,0,0,0
1603,LA,Calcasieu (Parish),LAKE CHARLES,70629,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Calcasieu (Parish),LAKE CHARLES,70669,1,"$3,163",1,"$3,163",0,1,0,0,0,1,"$3,163",$690,$0,"$2,473",1,0,0,0
1603,LA,Calcasieu (Parish),NEW ORLEANS,70114,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Calcasieu (Parish),NEW ORLEANS,70126,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Calcasieu (Parish),RAGLEY,70657,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Calcasieu (Parish),SINGER,70660,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Calcasieu (Parish),SLIDELL,70458,1,"$2,206",1,"$2,206",0,1,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Calcasieu (Parish),STARKS,70661,4,$0,4,$0,4,0,0,0,0,2,"$4,000",$0,"$4,000",$0,2,0,0,0
1603,LA,Calcasieu (Parish),SULPHUR,70663,69,"$3,122",54,"$168,595",34,19,0,0,1,51,"$116,359","$7,600","$99,669","$9,090",50,1,0,0
1603,LA,Calcasieu (Parish),SULPHUR,70665,31,"$5,744",21,"$120,625",13,7,0,0,1,21,"$53,673","$5,876","$43,994","$3,804",21,0,0,0
1603,LA,Calcasieu (Parish),VINTON,70668,14,$480,10,"$4,805",9,1,0,0,0,7,"$20,431","$4,013","$15,626",$791,7,0,0,0
1603,LA,Calcasieu (Parish),WESTLAKE,70669,31,$136,24,"$3,259",23,1,0,0,0,22,"$48,885","$1,856","$45,626","$1,403",22,0,0,0
1603,LA,Caldwell (Parish),BOGALUSA,70427,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Cameron (Parish),BELL CITY,70630,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Cameron (Parish),CAMERON,70631,23,"$13,533",17,"$230,061",16,0,0,0,1,8,"$16,000",$0,"$16,000",$0,8,0,0,0
1603,LA,Cameron (Parish),CREOLE,70632,8,"$56,441",7,"$395,089",5,0,0,0,2,7,"$16,118",$0,"$16,118",$0,7,0,0,0
1603,LA,Cameron (Parish),GRAND CHENIER,70643,3,$0,3,$0,3,0,0,0,0,2,"$4,000",$0,"$4,000",$0,2,0,0,0
1603,LA,Cameron (Parish),HACKBERRY,70645,11,$0,7,$0,7,0,0,0,0,4,"$8,000",$0,"$8,000",$0,4,0,0,0
1603,LA,Cameron (Parish),HACKBERYY,70645,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Cameron (Parish),LAKE CHARLES,70607,5,$0,5,$0,5,0,0,0,0,5,"$10,000",$0,"$10,000",$0,5,0,0,0
1603,LA,Cameron (Parish),METAIRIE,70005,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Cameron (Parish),SLIDELL,70461,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
1603,LA,Choctaw (County),WAVELAND,39576,1,$0,1,$0,1,0,0,0,0,1,"$2,000",$0,"$2,000",$0,1,0,0,0
1603,LA,Concho (County),HOUSTON,77015,1,$0,1,$0,1,0,0,0,0,0,$0,$0,$0,$0,0,0,0,0
