,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,,,,,,,,,,,,,,,,,,
disaster,state,mergecell,county,city,zip,valid_registrations,avg_inspected_damage,total_inspected,total_damage,no_inspected_damage,damage_1_10000,damage_10000_20000,damage_20000_30000,damage_30000_max,approved_for_assistance,total_approved_amt,repair_replace_amt,rental_amt,other_needs_amt,approved_1_10000,approved_10001_25000,approved_25001_max,total_max_grants,disaster_type,county_clean,,,State,County,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
1606,TX,brazoria_tx,Brazoria ,OYSTER CREEK,77541,5,218,4,873,3,1,0,0,0,3,4873,873,4000,0,3,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,PEARLAND,77581,537,130,236,30708,176,60,0,0,0,60,103225,6333,90000,6892,60,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,PEARLAND,77584,654,1017,266,270494,187,75,0,1,3,77,207428,51821,124479,31128,73,3,1,1,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,QUINTANA,77541,1,0,1,0,1,0,0,0,0,1,2465,0,2000,465,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,RASHARON,77583,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,RICHWOOD,77531,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,ROSHARON,77583,308,348,163,56759,69,94,0,0,0,45,85471,9441,68548,7482,45,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,SANTA FE,77510,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,SEGNO,77351,1,807,1,807,0,1,0,0,0,1,807,0,0,807,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,SURFSIDE BCH,77541,3,0,2,0,2,0,0,0,0,1,2000,0,2000,0,1,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,SURFSIDE BEACH,77541,12,1076,6,6458,3,3,0,0,0,2,9200,5200,4000,0,2,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,SWEENY,77480,89,22,44,947,40,4,0,0,0,8,12582,313,12000,269,8,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,TEXAS CITY,77591,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,brazoria_tx,Brazoria ,WEST COLUMBIA,77486,96,2,44,85,42,2,0,0,0,5,10000,0,10000,0,5,0,0,0,Hurricane,brazoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,burnet_tx,Burnet ,BEAUMONT,77706,1,0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,Hurricane,burnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,77665,77665,1,807,1,807,0,1,0,0,0,1,2807,0,2000,807,1,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAHUAC,44514,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAHUAC,75514,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAHUAC,77015,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAHUAC,77504,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAHUAC,77514,1614,1413,1177,1663567,259,908,3,0,7,1109,2515239,420453,1599993,494793,1094,14,1,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAHUAC,77535,1,23165,1,23165,0,0,0,1,0,1,13301,10500,2801,0,0,1,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAHUAC,77560,1,807,1,807,0,1,0,0,0,1,2807,0,2000,807,1,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAHUAC,77597,1,244,1,244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAHUHC,77514,1,20,1,20,0,1,0,0,0,1,2000,0,2000,0,1,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,ANAUAC,77514,1,0,1,0,1,0,0,0,0,1,2000,0,2000,0,1,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,BACLIFF,77518,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,BAY CITY,77414,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,Baytown,77520,1,1942,1,1942,0,1,0,0,0,1,918,918,0,0,1,0,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,TX,chambers_tx,Chambers ,BAYTOWN,77520,1322,475,746,354589,347,396,2,0,1,322,580932,95159,407282,78491,319,3,0,0,Hurricane,chambers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
