Rita,Harvey,mergecell,Geofips,State,Geoname,GDPsub_Gov2012,GDPsub_Gov2013,GDPsub_Gov2014,GDPsub_Gov2015,GDPsub_PrGood2012,GDPsub_PrGood2013,GDPsub_PrGood2014,GDPsub_PrGood2015,GDPsub_PrServ2012,GDPsub_PrServ2013,GDPsub_PrServ2014,GDPsub_PrServ2015,GDP_2012,GDP_2013,GDP_2014,GDP_2015,PerCapInc2003,PerCapInc2004,PerCapInc2005,PerCapInc2006,PerCapInc2007,PerCapInc2008,PerCapInc2009,PerCapInc2010,PerCapInc2011,PerCapInc2012,PerCapInc2013,PerCapInc2014,PerCapInc2015,PerCapInc2016,PerCapInc2017,Popula2003,Popula2004,Popula2005,Popula2006,Popula2007,Popula2008,Popula2009,Popula2010,Popula2011,Popula2012,Popula2013,Popula2014,Popula2015,Popula2016,Popula2017,PersInc2003,PersInc2004,PersInc2005,PersInc2006,PersInc2007,PersInc2008,PersInc2009,PersInc2010,PersInc2011,PersInc2012,PersInc2013,PersInc2014,PersInc2015,PersInc2016,PersInc2017
0,0,montague_tx,48337,TX,"Montague, TX",75367,78711,79176,81697,324904,393872,388229,271939,179419,193161,206156,202327,579691,665744,673560,555963,23681,24419,25975,28617,31858,36583,32883,35006,39297,40956,41641,44378,41643,38049,39085,19388,19444,19551,19781,19822,19882,19768,19715,19756,19474,19394,19381,19280,19436,19539,459136,474812,507840,566079,631489,727335,650025,690149,776349,797578,807589,860083,802875,739526,763687
Rita,Harvey,montgomery_tx,48339,TX,"Montgomery, TX",1595417,1712412,1829684,1981022,9774825,13863834,13704214,7985362,9983571,10891106,12063662,13484882,21353812,26467352,27597559,23451266,33621,34652,38752,43025,46613,51210,47412,49167,52156,59694,62153,64448,59630,56157,57585,341499,357607,372541,392497,411416,429818,445836,459185,471438,484453,498467,516798,535214,554522,570934,11481449,12391944,14436835,16886995,19177243,22011148,21138073,22576609,24588215,28918914,30981334,33306728,31914797,31140467,32877204
0,0,moore_tx,48341,TX,"Moore, TX",107649,112075,116323,123816,796338,963920,797016,850870,331905,336014,331389,357653,1235892,1412009,1244728,1332338,23748,23870,25236,25770,27837,28409,27033,29728,32586,33853,34350,37392,41434,38759,40454,20223,20389,20312,20558,20469,20917,21575,22010,22090,22437,22145,22021,21880,21935,22097,480247,486692,512599,529782,569789,594224,583232,654324,719833,759560,760676,823402,906571,850173,893917
0,0,morris_tx,48343,TX,"Morris, TX",38287,39547,39193,40168,505624,482562,425655,339438,193435,183854,187497,191948,737346,705963,652345,571554,24069,26906,28589,30155,31833,35169,36247,39672,41012,41965,40957,41482,42411,40314,42249,13139,12983,13012,13168,13251,13092,12954,12920,12770,12707,12682,12618,12391,12490,12467,316238,349326,372003,397083,421814,460433,469546,512556,523723,533249,519419,523420,525515,503519,526723
0,0,motley_tx,48345,TX,"Motley, TX",6060,6178,6339,6426,9732,10163,10878,12199,5006,5359,5927,5858,20797,21701,23144,24483,25314,27598,28291,26388,27588,22540,25166,27882,32166,29845,34231,31460,32336,29163,28447,1319,1270,1257,1236,1228,1197,1200,1205,1200,1197,1192,1149,1146,1172,1230,33389,35049,35562,32616,33878,26980,30199,33598,38599,35725,40803,36147,37057,34179,34990
Rita,0,nacogdoches_tx,48347,TX,"Nacogdoches, TX",361713,381138,388955,407766,500554,576968,538061,513730,862824,847405,863074,881926,1725091,1805511,1790091,1803422,23642,24265,25225,25430,26435,28869,28921,30965,31573,32234,32618,34297,35352,35185,36398,59816,60427,60939,61750,62274,62957,64012,64683,65639,65821,65163,65187,65464,65662,65580,1414170,1466260,1537173,1570281,1646220,1817502,1851262,2002894,2072434,2121677,2125476,2235735,2314303,2310348,2386951
0,0,navarro_tx,48349,TX,"Navarro, TX",221114,226321,213339,218810,491938,516421,509057,491218,614661,672645,765026,816678,1327712,1415387,1487422,1526706,22776,23356,24554,25381,27252,29006,28861,30466,31611,33496,33258,34851,35479,36258,36960,46078,46545,46854,47338,47272,47408,47584,47869,48053,48138,48029,47918,48170,48375,48701,1049488,1087113,1150458,1201478,1288271,1375138,1373322,1458385,1519012,1612444,1597362,1669992,1709008,1753962,1799965
Rita,Harvey,newton_tx,48351,TX,"Newton, TX",33636,34421,35271,36616,19560,19559,18480,17159,366091,289799,287929,384304,419287,343779,341680,438079,16399,16736,17591,18279,20367,22936,22418,23444,24793,25949,26824,29028,30099,30511,31306,14938,14560,14625,14349,14335,14393,14446,14448,14561,14431,14332,14296,14169,14186,13952,244963,243680,257270,262281,291956,330116,323850,338721,361017,374475,384437,414979,426466,432824,436784
0,0,nolan_tx,48353,TX,"Nolan, TX",94330,97774,100310,103334,197844,216559,227511,208846,499661,511293,537298,498104,791835,825626,865119,810284,22747,23726,25474,25512,27921,28829,29526,31079,33325,34804,36895,38980,39006,38635,40256,15148,15013,14745,14740,14750,15093,15128,15249,15129,14892,15055,15114,15041,14968,14770,344576,356201,375617,376047,411839,435111,446672,473928,504179,518303,555456,589150,586682,578282,594576
0,Harvey,nueces_tx,48355,TX,"Nueces, TX",2475095,2453227,2513451,2617430,6901292,7650046,6556545,6824167,8944548,9623434,10597996,11152607,18320935,19726707,19667992,20594204,28104,29067,31042,32760,33524,36969,34399,36694,39432,40740,41502,43385,42604,40647,41873,317632,321879,325515,329113,330512,333526,338220,340261,343225,347848,352781,356452,360437,361529,361221,8926744,9355936,10104560,10781742,11080123,12330113,11634483,12485495,13534104,14171370,14641008,15464512,15356003,14695250,15125406
